Transaction_ID,Date,Store_Name,City,Customer_Name,Gender,Segment,Product_Name,Category,Size,Quantity,Unit_Price,Employee_Name,Position
TRX-20240103-00026,2024-01-03,Pramice Central Mall,Jakarta Pusat,Fajar Nugroho 65,Male,Regular,Mango Tango Milkshake,Milkshake,Large,4,35000,Nadia Fitri,Barista
TRX-20240103-00027,2024-01-03,Pramice Central Mall,Jakarta Pusat,Siti Rahma 52,Male,Student,Cookies & Cream Cone,Cone,Large,2,20000,Siska Dewi,Cashier
TRX-20240103-00028,2024-01-03,Pramice Sunset Road,Badung,Rina Melati 86,Male,Member,Strawberry Breeze Sundae,Sundae,Medium,1,30000,Siska Dewi,Cashier
TRX-20240103-00029,2024-01-03,Pramice Sunset Road,Badung,Maya Sari 59,Male,Regular,Vanilla Velvet Cone,Cone,Regular,2,15000,Rian Hidayat,Cashier
TRX-20240103-00030,2024-01-03,Pramice Sunset Road,Badung,Joko Widodo 48,Male,Member,Vanilla Velvet Cone,Cone,Regular,3,15000,Siska Dewi,Cashier
TRX-20240103-00031,2024-01-03,Pramice Central Mall,Jakarta Pusat,Siti Rahma 85,Male,Member,Cookies & Cream Cone,Cone,Large,1,20000,Bayu Pratama,Store Supervisor
TRX-20240103-00032,2024-01-03,Pramice Sunset Road,Badung,Rina Melati 92,Male,Student,Strawberry Breeze Sundae,Sundae,Medium,2,30000,Siska Dewi,Cashier
TRX-20240103-00033,2024-01-03,Pramice Central Mall,Jakarta Pusat,Budi Santoso 36,Male,Member,Vanilla Velvet Cone,Cone,Regular,2,15000,Nadia Fitri,Barista
TRX-20240103-00034,2024-01-03,Pramice Braga Street,Bandung,,Male,Regular,Mango Tango Milkshake,Milkshake,Large,3,35000,Nadia Fitri,Barista
TRX-20240103-00035,2024-01-03,Pramice Central Mall,Jakarta Pusat,Ahmad Fauzi 56,Male,Member,Strawberry Breeze Sundae,Sundae,Medium,1,30000,Siska Dewi,Cashier
TRX-20240103-00036,2024-01-03,Pramice Central Mall,Jakarta Pusat,Dewi Lestari 88,Male,Member,Strawberry Breeze Sundae,Sundae,Medium,2,30000,Siska Dewi,Cashier
TRX-20240103-00037,2024-01-03,Pramice South Hills,Jakarta Selatan,Eko Prasetyo 23,Male,Regular,Double Choco Fudge,Scoop,Large,2,25000,Siska Dewi,Cashier
TRX-20240104-00038,2024-01-04,Pramice Sunset Road,Badung,Budi Santoso 49,Female,Regular,Double Choco Fudge,Scoop,Large,1,25000,Rian Hidayat,Cashier
TRX-20240104-00039,2024-01-04,Pramice South Hills,Jakarta Selatan,Dewi Lestari 85,Female,Member,Double Choco Fudge,Scoop,Large,1,25000,Rian Hidayat,Cashier
TRX-20240104-00040,2024-01-04,Pramice Sunset Road,Badung,Fajar Nugroho 87,Female,Regular,Cookies & Cream Cone,Cone,Large,1,20000,Nadia Fitri,Barista
TRX-20240104-00041,2024-01-04,Pramice Sunset Road,Badung,Eko Prasetyo 77,Female,Student,Vanilla Velvet Cone,Cone,Regular,2,15000,Rian Hidayat,Cashier
TRX-20240104-00042,2024-01-04,Pramice Central Mall,Jakarta Pusat,Budi Santoso 33,Female,Regular,Matcha Green Tea Scoop,Scoop,Regular,2,22000,Siska Dewi,Cashier
TRX-20240104-00043,2024-01-04,Pramice South Hills,Jakarta Selatan,Rina Melati 9,Female,Student,Strawberry Breeze Sundae,Sundae,Medium,3,30000,Nadia Fitri,Barista
TRX-20240104-00044,2024-01-04,Pramice Sunset Road,Badung,Eko Prasetyo 42,Female,Student,Cookies & Cream Cone,Cone,Large,1,20000,Nadia Fitri,Barista
TRX-20240104-00045,2024-01-04,Pramice South Hills,Jakarta Selatan,Fajar Nugroho 52,Male,Member,Mango Tango Milkshake,Milkshake,Large,1,35000,Bayu Pratama,Store Supervisor
TRX-20240104-00046,2024-01-04,Pramice Sunset Road,Badung,Dewi Lestari 57,Female,Student,Matcha Green Tea Scoop,Scoop,Regular,1,22000,Nadia Fitri,Barista
TRX-20240104-00047,2024-01-04,Pramice Sunset Road  ,Badung,Joko Widodo 87,Male,Regular,Vanilla Velvet Cone,Cone,Regular,1,15000,Siska Dewi,Cashier
TRX-20240104-00048,2024-01-04,Pramice Central Mall,Jakarta Pusat,Maya Sari 81,Male,Student,Matcha Green Tea Scoop,Scoop,Regular,2,22000,Nadia Fitri,Barista
TRX-20240105-00049,2024-01-05,Pramice Central Mall,Jakarta Pusat,Fajar Nugroho 23,Female,Regular,Matcha Green Tea Scoop,Scoop,Regular,2,22000,Siska Dewi,Cashier
TRX-20240105-00050,2024-01-05,Pramice South Hills,Jakarta Selatan,Anisa Putri 97,Female,Student,Matcha Green Tea Scoop,Scoop,Regular,1,22000,Bayu Pratama,Store Supervisor
TRX-20240105-00051,2024-01-05,Pramice Braga Street,Bandung,Joko Widodo 82,Female,Student,Strawberry Breeze Sundae,Sundae,Medium,1,30000,Siska Dewi,Cashier
TRX-20240105-00052,2024-01-05,Pramice South Hills,Jakarta Selatan,Fajar Nugroho 41,Male,Regular,Strawberry Breeze Sundae,Sundae,Medium,1,30000,Bayu Pratama,Store Supervisor
TRX-20240105-00053,2024-01-05,Pramice South Hills,Jakarta Selatan,Rina Melati 53,Female,Member,Vanilla Velvet Cone,Cone,Regular,1,15000,Nadia Fitri,Barista
TRX-20240105-00054,2024-01-05,Pramice Central Mall,Jakarta Pusat,Budi Santoso 62,Female,Member,Mango Tango Milkshake,Milkshake,Large,2,35000,Nadia Fitri,Barista
TRX-20240105-00055,2024-01-05,Pramice Braga Street,Bandung,Dewi Lestari 63,Female,Member,Mango Tango Milkshake,Milkshake,Large,1,35000,Siska Dewi,Cashier
TRX-20240105-00056,2024-01-05,Pramice Braga Street,Bandung,Ahmad Fauzi 60,Male,Member,Cookies & Cream Cone,Cone,Large,2,20000,Siska Dewi,Cashier
TRX-20240106-00057,2024-01-06,Pramice South Hills,Jakarta Selatan,Joko Widodo 7,Female,Member,Matcha Green Tea Scoop,Scoop,Regular,1,22000,Siska Dewi,Cashier
TRX-20240106-00058,2024-01-06,Pramice Braga Street,Bandung,Siti Rahma 33,Female,Regular,Strawberry Breeze Sundae,Sundae,Medium,2,30000,Nadia Fitri,Barista
TRX-20240106-00059,2024-01-06,Pramice South Hills  ,Jakarta Selatan,Budi Santoso 100,Male,Regular,Cookies & Cream Cone,Cone,Large,1,20000,Rian Hidayat,Cashier
TRX-20240106-00060,2024-01-06,Pramice South Hills,Jakarta Selatan,Dewi Lestari 73,Female,Student,Matcha Green Tea Scoop,Scoop,Regular,1,22000,Rian Hidayat,Cashier
TRX-20240106-00061,2024-01-06,Pramice Central Mall,Jakarta Pusat,Maya Sari 14,Male,Member,Double Choco Fudge,Scoop,Large,2,25000,Bayu Pratama,Store Supervisor
TRX-20240106-00062,2024-01-06,Pramice South Hills,Jakarta Selatan,Joko Widodo 14,Male,Student,Vanilla Velvet Cone,Cone,Regular,2,15000,Siska Dewi,Cashier
TRX-20240106-00063,2024-01-06,Pramice Sunset Road,Badung,Eko Prasetyo 2,Female,Regular,Vanilla Velvet Cone,Cone,Regular,1,15000,Bayu Pratama,Store Supervisor
TRX-20240106-00064,2024-01-06,Pramice Braga Street,Bandung,Ahmad Fauzi 56,Female,Student,Cookies & Cream Cone,Cone,Large,3,20000,Siska Dewi,Cashier
TRX-20240106-00065,2024-01-06,Pramice Braga Street,Bandung,Dewi Lestari 42,Male,Member,Cookies & Cream Cone,Cone,Large,3,20000,Bayu Pratama,Store Supervisor
TRX-20240106-00066,2024-01-06,Pramice Braga Street,Bandung,Rina Melati 64,Male,Member,Strawberry Breeze Sundae,Sundae,Medium,1,30000,Rian Hidayat,Cashier
TRX-20240106-00067,2024-01-06,Pramice Sunset Road,Badung,Dewi Lestari 67,Male,Regular,Mango Tango Milkshake,Milkshake,Large,2,35000,Rian Hidayat,Cashier
TRX-20240106-00068,2024-01-06,Pramice Braga Street,Bandung,Budi Santoso 58,Male,Member,Cookies & Cream Cone,Cone,Large,1,20000,Nadia Fitri,Barista
TRX-20240106-00069,2024-01-06,Pramice Sunset Road,Badung,Fajar Nugroho 55,Female,Member,Matcha Green Tea Scoop,Scoop,Regular,2,22000,Bayu Pratama,Store Supervisor
TRX-20240106-00070,2024-01-06,Pramice Central Mall,Jakarta Pusat,Siti Rahma 41,Male,Regular,Cookies & Cream Cone,Cone,Large,1,20000,Siska Dewi,Cashier
TRX-20240107-00071,2024-01-07,Pramice Central Mall,Jakarta Pusat,Rina Melati 30,Male,Member,Double Choco Fudge,Scoop,Large,1,25000,Bayu Pratama,Store Supervisor
TRX-20240107-00072,2024-01-07,Pramice Central Mall,Jakarta Pusat,Ahmad Fauzi 90,Female,Regular,Mango Tango Milkshake,Milkshake,Large,3,35000,Bayu Pratama,Store Supervisor
TRX-20240107-00073,2024-01-07,Pramice Braga Street,Bandung,Joko Widodo 7,Female,Regular,Strawberry Breeze Sundae,Sundae,Medium,3,30000,Siska Dewi,Cashier
TRX-20240107-00074,2024-01-07,Pramice Central Mall,Jakarta Pusat,Joko Widodo 73,Male,Regular,Double Choco Fudge,Scoop,Large,1,25000,Siska Dewi,Cashier
TRX-20240107-00075,2024-01-07,Pramice South Hills,Jakarta Selatan,Anisa Putri 58,Female,Student,Mango Tango Milkshake,Milkshake,Large,4,35000,Nadia Fitri,Barista
TRX-20240107-00076,2024-01-07,Pramice Central Mall,Jakarta Pusat,Siti Rahma 34,Male,Regular,Double Choco Fudge,Scoop ,Large,1,25000,Siska Dewi,Cashier
TRX-20240107-00077,2024-01-07,Pramice Braga Street,Bandung,Budi Santoso 38,Male,Member,Cookies & Cream Cone,Cone,Large,2,20000,Nadia Fitri,Barista
TRX-20240107-00078,2024-01-07,Pramice South Hills,Jakarta Selatan,Siti Rahma 55,Male,Student,Strawberry Breeze Sundae,Sundae,Medium,1,30000,Siska Dewi,Cashier
TRX-20240107-00079,2024-01-07,Pramice Central Mall,Jakarta Pusat,Maya Sari 77,Female,Member,Double Choco Fudge,Scoop,Large,1,25000,Bayu Pratama,Store Supervisor
TRX-20240107-00080,2024-01-07,Pramice Sunset Road,Badung,Siti Rahma 57,Male,Member,Mango Tango Milkshake,Milkshake ,Large,2,35000,Nadia Fitri,Barista
TRX-20240107-00081,2024-01-07,Pramice South Hills,Jakarta Selatan,Joko Widodo 98,Male,Regular,Cookies & Cream Cone,Cone,Large,1,20000,Rian Hidayat,Cashier
TRX-20240107-00082,2024-01-07,Pramice South Hills,Jakarta Selatan,Anisa Putri 82,Male,Member,Mango Tango Milkshake,Milkshake,Large,1,35000,Nadia Fitri,Barista
TRX-20240108-00083,2024-01-08,Pramice Sunset Road,Badung,Eko Prasetyo 37,Male,Member,Matcha Green Tea Scoop,Scoop,Regular,1,22000,Nadia Fitri,Barista
TRX-20240108-00084,2024-01-08,Pramice Braga Street,Bandung,Fajar Nugroho 85,Female,Member,Mango Tango Milkshake,Milkshake,Large,1,35000,Rian Hidayat,Cashier
TRX-20240108-00085,2024-01-08,Pramice Braga Street,Bandung,Budi Santoso 98,Male,Member,Cookies & Cream Cone,Cone,Large,2,20000,Nadia Fitri,Barista
TRX-20240108-00086,2024-01-08,Pramice Braga Street,Bandung,Maya Sari 81,Male,Student,Vanilla Velvet Cone,Cone,Regular,1,15000,Rian Hidayat,Cashier
TRX-20240108-00087,2024-01-08,Pramice Central Mall,Jakarta Pusat,Siti Rahma 60,Male,Member,Double Choco Fudge,Scoop,Large,3,25000,Rian Hidayat,Cashier
TRX-20240108-00088,2024-01-08,Pramice Braga Street,Bandung,Anisa Putri 32,Male,Member,Matcha Green Tea Scoop,Scoop,Regular,1,22000,Nadia Fitri,Barista
TRX-20240108-00089,2024-01-08,Pramice South Hills  ,Jakarta Selatan,Eko Prasetyo 99,Female,Student,Vanilla Velvet Cone,Cone,Regular,1,15000,Bayu Pratama,Store Supervisor
TRX-20240108-00090,2024-01-08,Pramice Braga Street,Bandung,Anisa Putri 69,Female,Member,Double Choco Fudge,Scoop,Large,2,25000,Nadia Fitri,Barista
TRX-20240108-00091,2024-01-08,Pramice Sunset Road,Badung,Eko Prasetyo 74,Male,Member,Double Choco Fudge,Scoop,Large,1,25000,Siska Dewi,Cashier
TRX-20240108-00092,2024-01-08,Pramice Braga Street,Bandung,Budi Santoso 64,Male,Student,Matcha Green Tea Scoop,Scoop,Regular,4,22000,Siska Dewi,Cashier
TRX-20240109-00093,2024-01-09,Pramice Central Mall,Jakarta Pusat,Ahmad Fauzi 2,Female,Student,Mango Tango Milkshake,Milkshake,Large,4,35000,Nadia Fitri,Barista
TRX-20240109-00094,2024-01-09,Pramice Sunset Road,Badung,Siti Rahma 84,Female,Student,Strawberry Breeze Sundae,Sundae,Medium,3,30000,Nadia Fitri,Barista
TRX-20240109-00095,2024-01-09,Pramice Braga Street,Bandung,Siti Rahma 80,Male,Student,Mango Tango Milkshake,Milkshake,Large,2,35000,Rian Hidayat,Cashier
TRX-20240109-00096,2024-01-09,Pramice Central Mall,Jakarta Pusat,Siti Rahma 98,Female,Regular,Matcha Green Tea Scoop,Scoop,Regular,2,22000,Rian Hidayat,Cashier
TRX-20240109-00097,2024-01-09,Pramice Central Mall,Jakarta Pusat,Eko Prasetyo 48,Male,Regular,Strawberry Breeze Sundae,Sundae,Medium,2,30000,Bayu Pratama,Store Supervisor
TRX-20240109-00098,2024-01-09,Pramice South Hills,Jakarta Selatan,Eko Prasetyo 79,Male,Member,Double Choco Fudge,Scoop,Large,3,25000,Rian Hidayat,Cashier
TRX-20240109-00099,2024-01-09,Pramice Sunset Road,Badung,Budi Santoso 86,Female,Member,Matcha Green Tea Scoop,Scoop,Regular,2,22000,Bayu Pratama,Store Supervisor
TRX-20240109-00100,2024-01-09,Pramice Sunset Road,Badung,Eko Prasetyo 82,Female,Member,Mango Tango Milkshake,Milkshake,Large,3,35000,Bayu Pratama,Store Supervisor
TRX-20240109-00101,2024-01-09,Pramice Braga Street,Bandung,Maya Sari 49,Female,Student,Vanilla Velvet Cone,Cone ,Regular,1,15000,Siska Dewi,Cashier
TRX-20240109-00102,2024-01-09,Pramice Braga Street,Bandung,Budi Santoso 73,Female,Member,Strawberry Breeze Sundae,Sundae,Medium,2,30000,Rian Hidayat,Cashier
TRX-20240109-00103,2024-01-09,Pramice South Hills,Jakarta Selatan,Joko Widodo 80,Male,Student,Cookies & Cream Cone,Cone,Large,1,20000,Siska Dewi,Cashier
TRX-20240109-00104,2024-01-09,Pramice Braga Street,Bandung,Ahmad Fauzi 94,Male,Member,Vanilla Velvet Cone,Cone,Regular,1,15000,Bayu Pratama,Store Supervisor
TRX-20240109-00105,2024-01-09,Pramice Sunset Road,Badung,Joko Widodo 22,Female,Member,Mango Tango Milkshake,Milkshake,Large,2,35000,Bayu Pratama,Store Supervisor
TRX-20240109-00106,2024-01-09,Pramice Central Mall  ,Jakarta Pusat,Eko Prasetyo 87,Female,Regular,Double Choco Fudge,Scoop,Large,2,25000,Siska Dewi,Cashier
TRX-20240109-00107,2024-01-09,Pramice Braga Street,Bandung,Eko Prasetyo 75,Female,Regular,Strawberry Breeze Sundae,Sundae,Medium,2,30000,Bayu Pratama,Store Supervisor
TRX-20240110-00108,2024-01-10,Pramice South Hills,Jakarta Selatan,Anisa Putri 82,Female,Student,Cookies & Cream Cone,Cone,Large,1,20000,Rian Hidayat,Cashier
TRX-20240110-00109,2024-01-10,Pramice Sunset Road,Badung,Dewi Lestari 13,Male,Member,Matcha Green Tea Scoop,Scoop,Regular,1,22000,Rian Hidayat,Cashier
TRX-20240110-00110,2024-01-10,Pramice Braga Street,Bandung,Siti Rahma 54,Female,Student,Mango Tango Milkshake,Milkshake,Large,1,35000,Siska Dewi,Cashier
TRX-20240110-00111,2024-01-10,Pramice Sunset Road,Badung,Dewi Lestari 57,Female,Regular,Double Choco Fudge,Scoop,Large,4,25000,Nadia Fitri,Barista
TRX-20240110-00112,2024-01-10,Pramice Sunset Road,Badung,Dewi Lestari 36,Male,Member,Vanilla Velvet Cone,Cone,Regular,1,15000,Nadia Fitri,Barista
TRX-20240110-00113,2024-01-10,Pramice Central Mall,Jakarta Pusat,Ahmad Fauzi 32,Male,Regular,Vanilla Velvet Cone,Cone,Regular,3,15000,Bayu Pratama,Store Supervisor
TRX-20240110-00114,2024-01-10,Pramice South Hills,Jakarta Selatan,Budi Santoso 77,Female,Regular,Strawberry Breeze Sundae,Sundae,Medium,4,30000,Siska Dewi,Cashier
TRX-20240110-00115,2024-01-10,Pramice Central Mall  ,Jakarta Pusat,Budi Santoso 17,Female,Regular,Cookies & Cream Cone,Cone,Large,2,20000,Rian Hidayat,Cashier
TRX-20240110-00116,2024-01-10,Pramice South Hills,Jakarta Selatan,Siti Rahma 68,Male,Member,Cookies & Cream Cone,Cone,Large,1,20000,Nadia Fitri,Barista
TRX-20240110-00117,2024-01-10,Pramice Braga Street  ,Bandung,Budi Santoso 79,Female,Member,Mango Tango Milkshake,Milkshake,Large,2,35000,Siska Dewi,Cashier
TRX-20240110-00118,2024-01-10,Pramice Braga Street,Bandung,Anisa Putri 63,Male,Regular,Matcha Green Tea Scoop,Scoop,Regular,1,22000,Rian Hidayat,Cashier
TRX-20240110-00119,2024-01-10,Pramice Sunset Road,Badung,Fajar Nugroho 59,Female,Regular,Matcha Green Tea Scoop,Scoop,Regular,2,22000,Bayu Pratama,Store Supervisor
TRX-20240110-00120,2024-01-10,Pramice South Hills,Jakarta Selatan,Eko Prasetyo 30,Female,Member,Matcha Green Tea Scoop,Scoop,Regular,1,22000,Nadia Fitri,Barista
TRX-20240111-00121,2024-01-11,Pramice Sunset Road,Badung,Anisa Putri 88,Male,Regular,Strawberry Breeze Sundae,Sundae,Medium,3,30000,Siska Dewi,Cashier
TRX-20240111-00122,2024-01-11,Pramice Sunset Road,Badung,Fajar Nugroho 76,Female,Student,Double Choco Fudge,Scoop,Large,1,25000,Rian Hidayat,Cashier
TRX-20240111-00123,2024-01-11,Pramice Braga Street,Bandung,Maya Sari 37,Female,Member,Cookies & Cream Cone,Cone,Large,1,20000,Rian Hidayat,Cashier
TRX-20240111-00124,2024-01-11,Pramice Braga Street,Bandung,Fajar Nugroho 45,Female,Regular,Double Choco Fudge,Scoop,Large,2,25000,Rian Hidayat,Cashier
TRX-20240111-00125,2024-01-11,Pramice Central Mall,Jakarta Pusat,Ahmad Fauzi 4,Female,Student,Mango Tango Milkshake,Milkshake,Large,2,35000,Bayu Pratama,Store Supervisor
TRX-20240111-00126,2024-01-11,Pramice South Hills,Jakarta Selatan,Ahmad Fauzi 9,Male,Regular,Double Choco Fudge,Scoop,Large,2,25000,Nadia Fitri,Barista
TRX-20240111-00127,2024-01-11,Pramice Sunset Road,Badung,Rina Melati 40,Male,Regular,Double Choco Fudge,Scoop,Large,1,25000,Bayu Pratama,Store Supervisor
TRX-20240111-00128,2024-01-11,Pramice Central Mall,Jakarta Pusat,Eko Prasetyo 85,Female,Student,Strawberry Breeze Sundae,Sundae,Medium,1,30000,Nadia Fitri,Barista
TRX-20240111-00129,2024-01-11,Pramice Central Mall  ,Jakarta Pusat,Joko Widodo 15,Female,Student,Strawberry Breeze Sundae,Sundae,Medium,2,30000,Nadia Fitri,Barista
TRX-20240111-00130,2024-01-11,Pramice Central Mall,Jakarta Pusat,Dewi Lestari 39,Male,Member,Vanilla Velvet Cone,Cone,Regular,1,15000,Siska Dewi,Cashier
TRX-20240111-00131,2024-01-11,Pramice Braga Street,Bandung,Fajar Nugroho 49,Male,Student,Double Choco Fudge,Scoop,Large,2,25000,Siska Dewi,Cashier
TRX-20240111-00132,2024-01-11,Pramice Braga Street,Bandung,Budi Santoso 56,Female,Regular,Cookies & Cream Cone,Cone,Large,3,20000,Rian Hidayat,Cashier
TRX-20240111-00133,2024-01-11,Pramice Braga Street,Bandung,Budi Santoso 52,Female,Regular,Strawberry Breeze Sundae,Sundae,Medium,3,30000,Rian Hidayat,Cashier
TRX-20240112-00134,2024-01-12,Pramice Central Mall,Jakarta Pusat,Eko Prasetyo 32,Female,Student,Matcha Green Tea Scoop,Scoop,Regular,1,22000,Rian Hidayat,Cashier
TRX-20240112-00135,2024-01-12,Pramice South Hills,Jakarta Selatan,Fajar Nugroho 10,Male,Student,Strawberry Breeze Sundae,Sundae,Medium,2,30000,Siska Dewi,Cashier
TRX-20240112-00136,2024-01-12,Pramice South Hills,Jakarta Selatan,Joko Widodo 19,Male,Regular,Double Choco Fudge,Scoop,Large,2,25000,Rian Hidayat,Cashier
TRX-20240112-00137,2024-01-12,Pramice South Hills,Jakarta Selatan,Maya Sari 60,Female,Student,Cookies & Cream Cone,Cone,Large,3,20000,Nadia Fitri,Barista
TRX-20240112-00138,2024-01-12,Pramice Sunset Road,Badung,Anisa Putri 20,Male,Member,Cookies & Cream Cone,Cone,Large,1,20000,Bayu Pratama,Store Supervisor
TRX-20240112-00139,2024-01-12,Pramice Central Mall,Jakarta Pusat,Anisa Putri 40,Female,Regular,Strawberry Breeze Sundae,Sundae,Medium,1,30000,Rian Hidayat,Cashier
TRX-20240112-00140,2024-01-12,Pramice Central Mall,Jakarta Pusat,Maya Sari 60,Male,Member,Mango Tango Milkshake,Milkshake,Large,3,35000,Nadia Fitri,Barista
TRX-20240112-00141,2024-01-12,Pramice Braga Street,Bandung,Anisa Putri 8,Male,Member,Mango Tango Milkshake,Milkshake,Large,4,35000,Siska Dewi,Cashier
TRX-20240112-00142,2024-01-12,Pramice Central Mall,Jakarta Pusat,Fajar Nugroho 57,Male,Member,Double Choco Fudge,Scoop,Large,1,25000,Nadia Fitri,Barista
TRX-20240112-00143,2024-01-12,Pramice Sunset Road,Badung,Rina Melati 81,Male,Member,Cookies & Cream Cone,Cone,Large,1,20000,Rian Hidayat,Cashier
TRX-20240112-00144,2024-01-12,Pramice South Hills,Jakarta Selatan,Ahmad Fauzi 75,Female,Member,Strawberry Breeze Sundae,Sundae,Medium,4,30000,Rian Hidayat,Cashier
TRX-20240112-00145,2024-01-12,Pramice Central Mall,Jakarta Pusat,Rina Melati 83,Male,Student,Strawberry Breeze Sundae,Sundae,Medium,2,30000,Nadia Fitri,Barista
TRX-20240112-00146,2024-01-12,Pramice Central Mall,Jakarta Pusat,Rina Melati 66,Male,Member,Cookies & Cream Cone,Cone,Large,1,20000,Nadia Fitri,Barista
TRX-20240113-00147,2024-01-13,Pramice South Hills,Jakarta Selatan,Siti Rahma 20,Female,Regular,Double Choco Fudge,Scoop,Large,2,25000,Siska Dewi,Cashier
TRX-20240113-00148,2024-01-13,Pramice Central Mall,Jakarta Pusat,Maya Sari 99,Male,Student,Cookies & Cream Cone,Cone,Large,1,20000,Bayu Pratama,Store Supervisor
TRX-20240113-00149,2024-01-13,Pramice South Hills,Jakarta Selatan,Eko Prasetyo 6,Female,Student,Cookies & Cream Cone,Cone,Large,2,20000,Nadia Fitri,Barista
TRX-20240113-00150,2024-01-13,Pramice Braga Street,Bandung,Anisa Putri 40,Male,Member,Double Choco Fudge,Scoop,Large,2,25000,Siska Dewi,Cashier
